Image,Range_URL,Score_URL,Score,Range,Range1,Range2,ytcoreattributedstring,Range3
,https://www.youtube.com/channel/UC41Oa3KQq_Khd1bLbREiyIg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwuOrFo6SOUeJw1AFJ4AaABAg,1 month ago,Every episode will have a different ED and each ED has a different artist.... Insane how much love they put into this anime.,,"
    24K
  ",Reply,294 replies
,https://www.youtube.com/channel/UCgTlVhZGexOsDy4-ewHnakQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwRP-GohRj0Bw2D-o14AaABAg,1 month ago,全員の声まじでぴったりだし特にデンジの声優は新人だけど上手くてイメージに合ってて最後の叫び声はほんとに鳥肌立ったわ、op米津玄師はガチで神,,"
    1.3K
  ",Reply,17 replies
,https://www.youtube.com/channel/UCjqwknA4JhtzHtXJ7NpZbWg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugx84QBC3QjdmoevC8x4AaABAg,1 month ago,Once again let's pray for the well-being of MAPPA's animators as they work on what is arguably one of their biggest projects of the decade.,,"
    1.9K
  ",Reply,17 replies
,https://www.youtube.com/channel/UCabP6AQ5InijCB_u33g7jfQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzApz7ZQdLc9DL2VU54AaABAg,3 weeks ago,チェンソーマンアニメ化するなんて大丈夫かコレ？と正直思ってたけどそれを超える最っ高なアニメに仕上がっててほんと感動した……ありがとうチェンソーマン…ありがとうMAPPA(T_T),,"
    47
  ",Reply,1 reply
,https://www.youtube.com/channel/UCdou0w0knRL_x1E7tIDTY7w,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwT0JByKlYc-MUiyBV4AaABAg,1 month ago,"チェンソーマンをリアタイしながら
全世界のファンと一緒に盛り上がれるとか最高すぎやん",チェンソーマンをリアタイしながら,"
    541
  ",Reply,
https://yt3.ggpht.com/ytc/AMLnZu8EYCRY2LLmd0m-hVIw-rcrhlb6x37rf5_ioA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCjCxWGVIMGDWz4S_l-Y14BA,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxbqWBJhHLxQzQ9b_94AaABAg,3 weeks ago,ただただセンスの良さを感じる設定を全面に出すんじゃなくてキャラにすごく惹かれるここまで人物に興味持ったの初めて,,"
    79
  ",Reply,
https://yt3.ggpht.com/5hkTuNjVk4xTBJxWkzu6L8hDWlO3pLMzB_XD-v3BrN84qmA5ZxJjgh50xjdDUfqD9fnw2a1X=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCBLAe2D756T4tH_fl9qntg,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxtNhKc2-fFcDtZpot4AaABAg,1 month ago,"I think it’s a shame that people are complaining about the voice acting, all of the characters sound amazing in this trailer! Not to mention the soundtrack and MAPPA going all out with the animation and coloring. This got me so hyped",,"
    19K
  ",Reply,286 replies
https://yt3.ggpht.com/0RUgCAW4nb1Xk2taTBfoDU-4iz1OhLxtac2LB-OjbUloUWJV-_FMOrflOFREoFuVCKTmSjE3R9o=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC8aeItcWc_wRCiYUnb3Xm8g,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgxLM5EjI88TvEhYrTl4AaABAg,1 month ago,"I love the lighting so far! The hotel scene, Power running down the road, Denji's shack, the warehouse fight, the lighting in these scenes all look absolutely incredible",,"
    1.2K
  ",Reply,7 replies
https://yt3.ggpht.com/LnduvQeTpTrYaCSnu4Wq-t4yJwxUILfiH4Aa4idtE4sOIAPHVvg11uPK8UJYdYfF-E_vAzBvLA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCWnEmsRPkGNjyhtFafb8l2w,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgyhVzag839yDxS4MMR4AaABAg,1 month ago,皆の期待値が高まりすぎてアニメ放送開始前にPVが1000万再生されるとかまさに伝説じゃん,,"
    690
  ",Reply,6 replies
https://yt3.ggpht.com/yd7TGSqFs8Ht4KiSOzA06k2K-O2p0MITxQKDLOLMLwE6wUQH4mC4Tzuw3NQjVILp6kDPVno7=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCyFUemqxboM0JfFTErNPzKQ,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=Ugwe2_LyEBYO0Fk6pQ14AaABAg,1 month ago,"個人的に声が解釈一致すぎる
あと曲も最高",個人的に声が解釈一致すぎる,"
    250
  ",Reply,2 replies
https://yt3.ggpht.com/IKw9nxkL1SzW9if5oQy3v_OJSdyI2BiqdS-JI8NSU1NVaMKxrIN-jetx0sJdq3ZIhrbGiFXOhWE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCDneCilzSifCrXhYIJzYIQw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzTfKxY6mrVatw26d14AaABAg,1 month ago,デンジの声解釈一致すぎて好き。楽しみすぎる。,,"
    489
  ",Reply,
https://yt3.ggpht.com/ytc/AMLnZu94x-KMrkZkpkTVpgfZvJ7Fg7e_7SkcXZYzHLSq0w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCFNYsOku9kcvDLCQL5ub8Hw,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgwxyLva9PKK8yc8HIZ4AaABAg,1 month ago,"Awesome!!!! I hope everyone at MAPPA gets a raise after this, CSM is such a masterpiece and with this level of animation and voice acting (Prolly better than demon slayers honestly) it is awesome. Crazy how far animation has come since like 2011.",,"
    285
  ",Reply,11 replies
https://yt3.ggpht.com/vy6pVzmzNFlH9821byvKyZoTI1d6DDY3wSEdKfFzsfI8KhQDIfT7v5Lrw9NPZIcSiykIHdaFTg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC75-G1vHs5exiBlPIkWAc0Q,https://www.youtube.com/watch?v=v4yLeNt-kCU&lc=UgzbIkk4f217MQCc0NR4AaABAg,1 month ago,これpvまんまだったらまじで伝説になるぞ,,"
    47K
  ",Reply,498 replies
